No.,Library / external ID,Role in main manuscript
1,LIT-287,Mechanized artificial pollination
2,LIT-004,Direct empirical robotic
3,LIT-302,Mechanized artificial pollination
4,EXT-B03,Pollination biology
5,LIT-260,Mechanized artificial pollination
6,LIT-007,Mechanized artificial pollination
7,LIT-186,Contextual/non-intervention
8,LIT-338,Direct empirical robotic
9,LIT-331,Conceptual/prototype robotic
10,LIT-105,Direct empirical robotic
11,EXT-M05,Review methodology
12,LIT-015,Contextual/non-intervention
13,EXT-M04,Review methodology
14,LIT-330,Mechanized artificial pollination
15,LIT-018,Conceptual/prototype robotic
16,EXT-B06,Pollination biology
17,LIT-267,Contextual/non-intervention
18,EXT-P01,Mechanized pollination precedent
19,LIT-317,Contextual/non-intervention
20,LIT-030,Enabling robotic evidence
21,LIT-031,Enabling robotic evidence
22,LIT-339,Direct empirical robotic
23,LIT-227,Direct empirical robotic
24,LIT-038,Direct empirical robotic
25,EXT-B04,Pollination biology
26,EXT-B07,Pollination biology
27,LIT-337,Contextual/non-intervention
28,LIT-047,Mechanized artificial pollination
29,LIT-200,Direct empirical robotic
30,EXT-C07,Causal inference
31,LIT-049,Enabling robotic evidence
32,LIT-048,Direct empirical robotic
33,LIT-291,Mechanized artificial pollination
34,LIT-319,Contextual/non-intervention
35,LIT-304,Enabling robotic evidence
36,LIT-115,Direct empirical robotic
37,EXT-C14,Causal inference
38,LIT-175,Direct empirical robotic
39,LIT-293,Enabling robotic evidence
40,LIT-058,Mechanized artificial pollination
41,EXT-B02,Pollination biology
42,LIT-173,Direct empirical robotic
43,LIT-247,Enabling robotic evidence
44,LIT-211,Contextual/non-intervention
45,LIT-063,Enabling robotic evidence
46,LIT-062,Enabling robotic evidence
47,LIT-329,Mechanized artificial pollination
48,LIT-326,Mechanized artificial pollination
49,LIT-061,Direct empirical robotic
50,LIT-065,Enabling robotic evidence
51,LIT-176,Direct empirical robotic
52,LIT-248,Enabling robotic evidence
53,LIT-268,Contextual/non-intervention
54,LIT-196,Direct empirical robotic
55,LIT-120,Direct empirical robotic
56,LIT-072,Direct empirical robotic
57,EXT-M03,Review methodology
58,LIT-289,Enabling robotic evidence
59,LIT-236,Direct empirical robotic
60,LIT-315,Enabling robotic evidence
61,LIT-189,Enabling robotic evidence
62,LIT-174,Direct empirical robotic
63,LIT-195,Direct empirical robotic
64,LIT-172,Direct empirical robotic
65,LIT-276,Enabling robotic evidence
66,EXT-B01,Pollination biology
67,EXT-M01,Review methodology
68,LIT-264,Enabling robotic evidence
69,LIT-203,Contextual/non-intervention
70,LIT-187,Contextual/non-intervention
71,LIT-307,Mechanized artificial pollination
72,LIT-190,Enabling robotic evidence
73,EXT-M02,Review methodology
74,EXT-C05,Causal inference
75,EXT-C01,Causal inference
76,EXT-B09,Pollination biology
77,LIT-104,Direct empirical robotic
78,LIT-323,Mechanized artificial pollination
79,LIT-221,Direct empirical robotic
80,LIT-263,Enabling robotic evidence
81,LIT-118,Direct empirical robotic
82,LIT-121,Direct empirical robotic
83,LIT-119,Direct empirical robotic
84,LIT-125,Direct empirical robotic
85,EXT-P03,Mechanized pollination precedent
86,EXT-P02,Mechanized pollination precedent
87,EXT-B08,Pollination biology
88,EXT-C08,Causal inference
89,LIT-311,Mechanized artificial pollination
90,EXT-B10,Pollination biology
91,LIT-097,Direct empirical robotic
92,LIT-098,Direct empirical robotic
93,EXT-B05,Pollination biology
94,LIT-238,Direct empirical robotic
95,LIT-292,Mechanized artificial pollination
96,LIT-102,Mechanized artificial pollination
97,LIT-101,Direct empirical robotic
98,LIT-336,Contextual/non-intervention
99,LIT-320,Contextual/non-intervention
100,EXT-B11,Pollination biology
